Unique ID,inventory_year,company_proponent,project_name,province,sector,company_type,group,cleantech,opening inventory flag,freshman flag,graduate flag,dropout flag,construction flag,planned flag,size_bin
293,2018,Capstone Infrastructure Corporation,Wild Rose' Wind Farm (Phase 2),AB,Energy,Private,Clean Electricity,Yes,1,0,0,0,1,1,$100M - $499M
298,2018,NB Power and Partners,Smart Grid Investments Phase,NB,Energy,Public,Trans & Distr,No,1,0,1,0,0,0,$100M - $499M
299,2018,Nemaska Lithium inc.,Whabouchi,QC,Mining,Private,Critical Mineral,Yes,1,0,0,0,0,1,$500M - $999M
306,2018,BluEarth Renewables,Hand Hills' Wind Farm (78MW),AB,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,1,$100M - $499M
314,2018,Ring of Fire Metals Pty Ltd.,Eagle's Nest (McFaulds Lake),ON,Mining,Private,Critical Mineral,Yes,1,0,0,0,0,1,$500M - $999M
315,2018,North American Palladium,Lac des Iles palladium mine (expansion),ON,Mining,Private,Precious Metal,No,0,1,0,0,0,1,<$100M
318,2018,"Northeast Utilities, NSTAR, Hydro-Quebec",Transmission Line - Champlain Hudson Power Express,QC,Energy,Public,Trans & Distr,No,1,0,0,0,0,0,$100M - $499M
328,2018,Numerous Companies,COMFIT Program - Wind Energy,NS,Energy,Private,Clean Electricity,Yes,1,0,1,1,0,0,$100M - $499M
329,2018,Northcliff Resources (HDI Mining),Sisson Project,NB,Mining,Private,Other,No,1,0,0,0,0,1,$500M - $999M
333,2018,Ontario Power Generation,Darlington Refurbishment Project,ON,Energy,Public,Clean Electricity,Yes,1,0,0,0,0,0,"$5,000M+"
334,2018,Ontario Power Generation,The Deep Geologic Repository Project,ON,Energy,Public,Clean Electricity,Yes,1,0,0,0,1,1,"$1,000M - $4,999M"
341,2018,Osum Oil Sands Corp.,Taiga,AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,"$1,000M - $4,999M"
345,2018,Greengen Holdings Ltd,Bremner Creek Hydro Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,1,<$100M
346,2018,"Woodside, Chevron (Kitimat LNG)",Pacific Trail Pipeline,BC,Energy,Private,Trans & Distr,No,1,0,0,0,0,1,"$1,000M - $4,999M"
352,2018,Brion Energy Corporation (Petro China),Thickwood/MacKay River,AB,Energy,Private,Waste Biomass,Yes,1,0,1,0,0,0,"$1,000M - $4,999M"
360,2018,Polaris Minerals Corp.,Eagle Rock Quarry,BC,Mining,Private,Other,No,1,0,0,0,0,1,$100M - $499M
362,2018,Potash Corporation of Saskatwchewan,Potash Mine Expansion,SK,Mining,Private,Precious Metal,No,1,0,1,0,0,0,"$1,000M - $4,999M"
364,2018,Premier Renewable Energy,Marten Ridge Wind Energy Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,0,$100M - $499M
368,2018,Pretium Resources Inc.,Brucejack Gold Mine,BC,Mining,Private,Precious Metal,No,1,0,1,1,0,0,"$1,000M - $4,999M"
371,2018,Metaux Torngat ltee,Strange Lake / B-Zone,QC,Mining,Private,Other,No,1,0,0,0,0,1,"$1,000M - $4,999M"
376,2018,Magneto Investments Limited Partnership,Dumont,QC,Mining,Private,Critical Mineral,Yes,1,0,0,0,0,1,"$1,000M - $4,999M"
381,2018,Ryan River Joint Venture Regional Power,Ryan River Hydro Project,BC,Energy,Private,Clean Electricity,Yes,0,1,0,0,0,1,$100M - $499M
387,2018,"Sea Breeze Pacific Juan de Fuca Cable, LP",Juan de Fuca Power Cable,BC,Energy,Private,Trans & Distr,No,0,1,0,0,0,1,$100M - $499M
389,2018,B2Gold Corp.,Back River Gold Project,NU,Mining,Private,Precious Metal,No,1,0,0,0,0,1,$100M - $499M
