unique_id,year,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,cleantech,abbreviation,planning,construction,active,graduate,dropout
27,2021,AltaGas Ltd.,Lower Wood River Hydropower Project,Mica,BC,In Review,Energy,144,52.008661,-118.563766,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
27,2022,AltaGas Ltd.,Lower Wood River Hydropower Project,Mica,BC,In Review,Energy,144,52.008661,-118.563766,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
27,2023,AltaGas Ltd.,Lower Wood River Hydropower Project,Mica,BC,In Review,Energy,144,52.008661,-118.563766,Private,Clean Electricity,Yes,EN-CLEL,1,0,0,0,1
29,2017,AltaLink,Southern Alberta Transmission Reinforcement,911L Line Replacement,AB,Under Construction,Energy,500,49.724368,-113.399878,Private,Trans & Distr,No,EN-T&D,0,1,1,0,0
29,2018,AltaLink,Southern Alberta Transmission Reinforcement,911L Line Replacement,AB,Under Construction,Energy,1866,49.724368,-113.399878,Private,Trans & Distr,No,EN-T&D,0,1,0,1,0
36,2017,Alterra Power Corporation,Bute Inlet Hydroelectric Project,Campbell River Area,BC,In Review,Energy,3300,50.750359,-124.88205,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
36,2018,Alterra Power Corporation,Bute Inlet Hydroelectric Project,Campbell River Area,BC,In Review,Energy,3300,50.750359,-124.88205,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
36,2019,Alterra Power Corporation,Bute Inlet Hydroelectric Project,Campbell River Area,BC,Announced & Planning,Energy,3300,50.7504,-124.8821,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
36,2020,Alterra Power Corporation,Bute Inlet Hydroelectric Project,Planned (TBC),BC,Announced & Planning,Energy,3300,,,Private,Clean Electricity,Yes,EN-CLEL,1,0,0,0,1
37,2017,"Woodside, Chevron",Kitimat LNG Terminal,"Bish Cove, Kitimat",BC,Approved,Energy,4500,54.063468,-128.63858,Private,Oil & Gas - Downstream,No,EN-OG-D,1,0,1,0,0
37,2018,"Woodside, Chevron",Kitimat LNG Terminal,"Bish Cove, Kitimat",BC,Approved,Energy,15000,54.063468,-128.63858,Private,Oil & Gas - Downstream,No,EN-OG-D,1,0,1,0,0
37,2019,"Woodside, Chevron",Kitimat LNG Terminal,"Bish Cove, Kitimat",BC,In Review,Energy,15000,54.0635,-128.6386,Private,Oil & Gas - Downstream,No,EN-OG-D,1,0,1,0,0
