Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,greenfield_flag,FOAK_flag
425,"Suncor, ExxonMobil, Statoil, Husky Energy , Murphy Oil, Chevron, Mosbacher",Terra Nova (Asset Life Extension),NL,Private,2018,2023,6,In Review,Under Construction,0,1,680,0.739,46.7248,-48.47168,Energy,Other,Yes,EN-OTH,0,0
440,Taseko Mines Ltd.,New Prosperity,BC,Private,2020,2020,1,In Review,In Review,0,0,1000,0.805,51.463,-123.624,Mining,Other,No,MIN-OTH,1,0
441,Taseko Mines Ltd.,Harmony Gold Mine,BC,Private,2020,2024,5,In Review,Announced & Planning,1,0,50,0.214,53.514064,-132.397868,Mining,Precious Metal,No,MIN-PM,1,0
460,GoldMining Inc,Yellowknife Gold,NT,Private,2020,2024,5,In Review,In Review,1,0,193,0.484,63.182,-113.909,Mining,Precious Metal,No,MIN-PM,1,0
467,Vale,Copper Cliff Deep project,ON,Private,2018,2023,6,Announced & Planning,Under Construction,0,1,760,0.764,46.549417,-81.00769,Mining,Base Metal,No,MIN-BM,1,0
473,Value Creation Inc.,Tristar' SAGD Pilot Project,AB,Private,2020,2022,3,In Review,In Review,0,0,0,0,56.571589,-111.228436,Energy,Oil & Gas - Upstream,No,EN-OG-U,1,1
484,Conuma Coal Resources Ltd.,Belcourt/Saxon Coal Mines,BC,Private,2020,2021,2,In Review,In Review,0,0,100,0.342,54.711929,-120.959473,Mining,Coal,No,MIN-COAL,1,0
485,Conuma Coal Resources Ltd.,Wolverine Coal Mine (Hermann Deposit),BC,Private,2020,2024,5,In Review,Approved,1,0,55,0.241,55.266598,-120.871582,Mining,Coal,No,MIN-COAL,1,0
499,Taseko Mines Ltd.,Yellowhead (formerly Harper Creek),BC,Private,2020,2022,3,In Review,Announced & Planning,0,0,1347,0.852,51.519,-119.817,Mining,Other,No,MIN-OTH,1,0
515,Athabasca Oil Corporation,Dover West Clastics,AB,Private,2019,2024,6,In Review,In Review,1,0,615,0.73,57.1005,-113.2251,Energy,Oil & Gas - Upstream,No,EN-OG-U,1,0
528,Cardero Coal Ltd.,Carbon Creek Coal Mine,BC,Private,2020,2023,4,In Review,In Review,0,0,301,0.581,55.983773,-122.398885,Mining,Coal,No,MIN-COAL,1,0
529,Cavalier Energy Inc.,Hoole (Paramount),AB,Private,2019,2023,5,Approved,Approved,0,0,452,0.662,56.0429,-113.6742,Energy,Clean Electricity,Yes,EN-CLEL,1,0
530,Centermount Coal Limited,Bingay Main Metallurgical Coal,BC,Private,2019,2024,6,In Review,In Review,1,0,480,0.67,50.1826,-114.9877,Mining,Coal,No,MIN-COAL,1,0
545,Holmes Hydro,Robson Valley Hydroelectric Project,BC,Public,2019,2024,6,In Review,In Review,1,0,200,0.49,53.3469,-119.8406,Energy,Clean Electricity,Yes,EN-CLEL,1,0
588,BridgePower,Rocky Creek Wind Energy Project,BC,Private,2019,2019,1,Announced & Planning,Announced & Planning,0,0,1500,0.863,55.2415,-121.8441,Energy,Clean Electricity,Yes,EN-CLEL,1,0
606,Treasury Metals Inc.,Goliath Complex,ON,Private,2018,2024,7,In Review,Approved,1,0,335,0.598,49.764413,-92.544708,Mining,Precious Metal,No,MIN-PM,1,0
620,KGHM International,Victoria Project,ON,Private,2018,2024,7,Announced & Planning,Under Construction,1,1,1000,0.805,46.4235,-81.3864,Mining,Other,No,MIN-OTH,1,0
626,IAMGOLD Corp./Sumitomo Metal Mining,Cote Lake Project,ON,Private,2018,2024,7,Approved,Under Construction,1,1,2456.493,0.911,47.5474,-81.9363,Mining,Precious Metal,No,MIN-PM,1,0
629,Sunshine Oilsands Ltd.,West Ells,AB,Private,2020,2024,5,Announced & Planning,Announced & Planning,1,0,2100,0.9,57.202491,-112.729238,Energy,Oil & Gas - Upstream,No,EN-OG-U,1,0
633,Glencore plc,Sukunka Coal Mine,BC,Private,2018,2022,5,In Review,In Review,0,0,450,0.654,55.1964,-121.569,Mining,Coal,No,MIN-COAL,1,0
690,Innergex Renewable Energy Inc.,Statlu Creek Hydroelectric Project,BC,Private,2019,2019,1,Announced & Planning,Announced & Planning,0,0,25,0.124,49.2817,-121.9308,Energy,Clean Electricity,Yes,EN-CLEL,1,0
691,EDF Energies Nouvelles,Sundance Wind Project,BC,Private,2018,2018,1,In Review,In Review,0,0,600,0.714,55.334152,-121.100275,Energy,Clean Electricity,Yes,EN-CLEL,1,0
707,Port Alberni Harbour Authority,Port Alberni LNG Export Facility,BC,Public,2020,2024,5,Announced & Planning,Announced & Planning,1,0,1600,0.872,49.230014,-124.81106,Energy,Oil & Gas - Downstream,No,EN-OG-D,1,0
757,Innergex Renewable Energy Inc.,Shovel Creek Hydroelectric Project,BC,Private,2020,2024,5,In Review,In Review,1,0,40,0.177,49.7212,-121.8148,Energy,Clean Electricity,Yes,EN-CLEL,1,0
770,TransAlta,Sundance 7 Gas fired power plant,AB,Private,2019,2020,2,Approved,Approved,0,0,1600,0.872,53.3027,-114.3326,Energy,NG Power Gen,Yes,EN-LCF,1,0
783,First Mining Gold Corp.,Springpole Lake Gold Project,ON,Private,2018,2024,7,In Review,Approved,1,0,1067.04673,0.818,51.3961,-92.293,Mining,Precious Metal,No,MIN-PM,1,0
794,Ascot Resources Ltd,Premier Gold Project,BC,Private,2018,2024,7,In Review,Under Construction,1,1,300,0.573,55.993725,-129.761651,Mining,Precious Metal,No,MIN-PM,1,0
818,Athabasca Oil Corporation,Hangingstone Oil Sands,AB,Private,2020,2024,5,In Review,In Review,1,0,640,0.731,56.476139,-111.407639,Energy,Oil & Gas - Upstream,No,EN-OG-U,1,0
858,ConocoPhillips Canada,Surmont (ConocoPhillips),AB,Private,2020,2024,5,In Review,In Review,1,0,6000,0.957,56.1936,-110.9506,Energy,Oil & Gas - Upstream,No,EN-OG-U,1,0
888,"Stolt-Nielsen Gas Ltd., Sun LNG Holding, LNGaz Inc",Stolt LNGaz,QC,Private,2018,2018,1,In Review,In Review,0,0,570,0.706,46.364,-72.393,Energy,Oil & Gas - Downstream,No,EN-OG-D,1,0
891,Arctic Canadian Diamond Corp,Ekati (Misery Deep),NT,Private,2018,2024,7,Approved,Approved,1,0,126.721,0.408,64.445237,-110.695595,Mining,Other,No,MIN-OTH,1,0
996,"AltaLink, ATCO",Central East Area Transmission Development,AB,Private,2019,2024,6,Announced & Planning,Under Construction,1,1,332,0.596,52.848469,-110.899511,Energy,Trans & Distr,No,EN-T&D,1,0
1034,Fission Uranium Corp.,Patterson Lake South,SK,Private,2020,2024,5,Announced & Planning,In Review,1,0,1177,0.827,57.635749,-109.316745,Mining,Critical Mineral,Yes,MIN-CM,1,0
1042,BMC Minerals Ltd.,Kudz Ze Kayah,YK,Private,2018,2024,7,Announced & Planning,In Review,1,0,496,0.676,61.45805,-130.61,Mining,Other,No,MIN-OTH,1,0
2072,Baffinland Iron Mines Corporation,Mary River Iron Ore project,NU,Private,2019,2022,4,In Review,In Review,0,0,1250,0.838,71.9109,-79.6289,Mining,Base Metal,No,MIN-BM,1,0
2120,Wahpeestan Energy Limited Partnership,Wahpeestan Project,ON,Private,2018,2019,2,Announced & Planning,In Review,0,0,20,0.088,45.408804,-75.980109,Energy,Clean Electricity,Yes,EN-CLEL,1,0
2121,Ainsworth Energy Co. Ltd.,Anahim Lake Bioenergy Project,BC,Private,2018,2024,7,Announced & Planning,Announced & Planning,1,0,15,0.072,52.418398,-126.486276,Energy,Waste Biomass,Yes,EN-BIO,1,0
