unique_id,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,entry_year,entry_status,last_year,last_status,reporting_years,active,graduate,dropout,success_flag,first_construction_year_success,years_to_construction_success,years_to_graduation,years_active,years_to_dropout,cleantech,cost_band
629.0,Sunshine Oilsands Ltd.,West Ells,,AB,Announced & Planning,Energy,2100.0,57.202491,-112.7292377,Private,Oil & Gas - Upstream,2020,Announced & Planning,2024,Announced & Planning,5,1,0,0,0,,,,5.0,,No,"$1,000M-$4,999M"
633.0,Glencore plc,Sukunka Coal Mine,,BC,In Review,Mining,433.7,55.1964,-121.569,Private,Coal,2018,In Review,2022,In Review,5,0,0,1,0,,,,,5.0,No,$100M-$499M
638.0,Moneta Porcupine,Golden Highway Gold Project,,ON,Announced & Planning,Mining,144.16,48.497498,-80.05188,Private,Precious Metal,2021,Announced & Planning,2023,Announced & Planning,3,0,0,1,0,,,,,3.0,No,$100M-$499M
640.0,"Braveheart Resources Inc. , Canada",Thierry Copper/Nickel Mine,,ON,Announced & Planning,Mining,407.0,51.458285,-90.196381,Private,Critical Mineral,2021,Announced & Planning,2023,Announced & Planning,3,0,0,1,0,,,,,3.0,Yes,$100M-$499M
644.0,Ontario Power Generation,New Nuclear Power Plant Darlington Small Modular Reactor Project,,ON,Announced & Planning,Energy,,43.872684,-78.706527,Public,Nuclear,2021,Announced & Planning,2022,Announced & Planning,2,0,0,1,0,,,,,2.0,Yes,
690.0,Innergex Renewable Energy Inc.,Statlu Creek Hydroelectric Project,,BC,Announced & Planning,Energy,25.0,49.2817,-121.9308,Private,Clean Electricity,2019,Announced & Planning,2019,Announced & Planning,1,0,0,1,0,,,,,1.0,Yes,<$100M
691.0,EDF Energies Nouvelles,Sundance Wind Project,,BC,In Review,Energy,600.0,55.334152,-121.100275,Private,Clean Electricity,2018,In Review,2018,In Review,1,0,0,1,0,,,,,1.0,Yes,$500M-$999M
707.0,Port Alberni Harbour Authority,Port Alberni LNG Export Facility,,BC,Announced & Planning,Energy,1600.0,49.230014,-124.81106,Public,Oil & Gas - Downstream,2020,Announced & Planning,2024,Announced & Planning,5,1,0,0,0,,,,5.0,,No,"$1,000M-$4,999M"
746.0,Innergex Renewable Energy Inc.,Tipella Creek Hydropower Project,,BC,In Review,Energy,44.0,51.841115,-118.61614,Private,Clean Electricity,2021,In Review,2023,In Review,3,0,0,1,0,,,,,3.0,Yes,<$100M
757.0,Innergex Renewable Energy Inc.,Shovel Creek Hydroelectric Project,,BC,In Review,Energy,40.0,49.7212,-121.8148,Private,Clean Electricity,2020,In Review,2024,In Review,5,1,0,0,0,,,,5.0,,Yes,<$100M
770.0,TransAlta,Sundance 7 Gas fired power plant,,AB,Approved,Energy,1600.0,53.3027,-114.3326,Private,NG Power Gen,2019,Approved,2020,Approved,2,0,0,1,0,,,,,2.0,Yes,"$1,000M-$4,999M"
782.0,J.D. Irving,Saint John Pulp Mill Upgrades,,NB,In Review,Forest,1100.0,45.2627,-66.0915,Private,Pulp & Paper,2024,In Review,2024,In Review,1,1,0,0,0,,,,1.0,,No,"$1,000M-$4,999M"
783.0,First Mining Gold Corp.,Springpole Lake Gold Project,,ON,In Review,Mining,723.183,51.3961,-92.293,Private,Precious Metal,2018,In Review,2024,Approved,7,1,0,0,0,,,,7.0,,No,$500M-$999M
794.0,Ascot Resources Ltd,Premier Gold Project,,BC,In Review,Mining,135.7,55.993725,-129.761651,Private,Precious Metal,2018,In Review,2024,Under Construction,7,1,0,0,1,2023.0,6.0,,7.0,,No,$100M-$499M
818.0,Athabasca Oil Corporation,Hangingstone Oil Sands,,AB,In Review,Energy,640.0,56.4761389,-111.4076389,Private,Oil & Gas - Upstream,2020,In Review,2024,In Review,5,1,0,0,0,,,,5.0,,No,$500M-$999M
858.0,ConocoPhillips Canada,Surmont (ConocoPhillips),,AB,In Review,Energy,6000.0,56.1936,-110.9506,Private,Oil & Gas - Upstream,2020,In Review,2024,In Review,5,1,0,0,0,,,,5.0,,No,"$5,000M+"
873.0,Orca LNG Ltd.,Orca LNG,,BC,Approved,Energy,,54.312194,-130.327083,Private,Oil & Gas - Downstream,2021,Approved,2021,Approved,1,0,0,1,0,,,,,1.0,No,
888.0,"Stolt-Nielsen Gas Ltd., Sun LNG Holding, LNGaz Inc",Stolt LNGaz,,QC,In Review,Energy,570.0,46.364,-72.393,Private,Oil & Gas - Downstream,2018,In Review,2018,In Review,1,0,0,1,0,,,,,1.0,No,$500M-$999M
891.0,Arctic Canadian Diamond Corp,Ekati (Misery Deep),,NT,Approved,Mining,94.0,64.445237,-110.695595,Private,Other,2018,Approved,2024,Approved,7,1,0,0,0,,,,7.0,,No,<$100M
896.0,Uranium Energy Corp,Roughrider Project,,SK,Announced & Planning,Mining,650.0,52.255289,-106.674981,Private,Critical Mineral,2024,Announced & Planning,2024,Announced & Planning,1,1,0,0,0,,,,1.0,,Yes,$500M-$999M
996.0,"AltaLink, ATCO",Central East Area Transmission Development,,AB,Announced & Planning,Energy,82.77,52.848469,-110.899511,Private,Trans & Distr,2019,Announced & Planning,2024,Under Construction,6,1,0,0,1,2024.0,6.0,,6.0,,No,<$100M
1034.0,Fission Uranium Corp.,Patterson Lake South,,SK,Announced & Planning,Mining,1177.0,57.635749,-109.316745,Private,Critical Mineral,2020,Announced & Planning,2024,In Review,5,1,0,0,0,,,,5.0,,Yes,"$1,000M-$4,999M"
1037.0,"Western LNG, Nisga'a Nation, Rockies LNG Partners",Ksi Lisims LNG,,BC,Announced & Planning,Energy,,54.901569,-130.072604,Private,Oil & Gas - Downstream,2021,Announced & Planning,2024,Announced & Planning,4,1,0,0,0,,,,4.0,,No,
1042.0,BMC Minerals Ltd.,Kudz Ze Kayah,,YK,Announced & Planning,Mining,400.88,61.45805,-130.61,Private,Other,2018,Announced & Planning,2024,In Review,7,1,0,0,0,,,,7.0,,No,$100M-$499M
2072.0,Baffinland Iron Mines Corporation,Mary River Iron Ore project,,NU,In Review,Mining,1000.0,71.9109,-79.6289,Private,Base Metal,2019,In Review,2022,In Review,4,0,0,1,0,,,,,4.0,No,"$1,000M-$4,999M"
2120.0,Wahpeestan Energy Limited Partnership,Wahpeestan Project,,ON,Announced & Planning,Energy,20.0,45.408804,-75.980109,Private,Clean Electricity,2018,Announced & Planning,2019,In Review,2,0,0,1,0,,,,,2.0,Yes,<$100M
