Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,_cost_quintile_bayes,p_bayes,risk_score,years_remaining,p_cox,blended_prob,priority_index,urgency_scale_(0-1),power_ranking
5027,Osisko Development Corp.,Cariboo Gold Project,BC,Private,2021,2024,4,Approved,Approved,1,0,588.0,0.712,53.08972,-121.56139,Mining,Precious Metal,No,MIN-PM,3,0.04053747028432772,0.1027271167914559,1.0,0.005352204439095898,0.02646336394623499,0.02646336394623499,0.010373902302582517,0.020027579288774
5028,St Barbara Ltd.,Moose River Consolidated (15 Mile Stream Mine),NS,Private,2021,2024,4,In Review,In Review,1,0,182.0,0.478,45.140214,-62.526081,Mining,Precious Metal,No,MIN-PM,1,0.38156577788498625,0.13383436023532416,1.0,0.006967271019614585,0.2317263751388376,0.2317263751388376,0.09639729460791152,0.17759474292646718
5034,Greengate Power Corporation,Lathom Solar Project,AB,Private,2021,2024,4,Announced & Planning,Approved,1,0,170.0,0.465,,,Energy,Clean Electricity,Yes,EN-CLEL,1,0.9810760253222282,1.1111298938078658,1.0,0.056394083240398296,0.6112032484894963,0.6112032484894963,0.255431734166108,0.468894642760141
5038,TransAlta Renewables,Tempest Wind Power Project,AB,Private,2021,2024,4,Announced & Planning,In Review,1,0,105.0,0.363,,,Energy,Clean Electricity,Yes,EN-CLEL,1,0.9810760253222282,1.1808447139184974,1.0,0.059824426436066225,0.6125753857677634,0.6125753857677634,0.2560067812858951,0.4699479439750161
5040,Prairie Sunlight,Vauxhall Solar Farm,AB,Private,2021,2024,4,In Review,In Review,1,0,220.0,0.519,,,Energy,Clean Electricity,Yes,EN-CLEL,1,0.9810760253222282,1.1111298938078658,1.0,0.056394083240398296,0.6112032484894963,0.6112032484894963,0.255431734166108,0.468894642760141
5041,AltaLink,Provost to Edgerton and Nilrem to Vermilion (PENV) Transmission Development,AB,Private,2021,2024,4,Announced & Planning,Announced & Planning,1,0,241.0,0.533,,,Energy,Trans & Distr,No,EN-T&D,2,0.9393279850825164,0.8854093103107231,1.0,0.045201319811199236,0.5816773189739894,0.5816773189739894,0.24305775308137822,0.44622949261694494
5048,Ascent Energy Partners,Dunmore Solar Project,AB,Private,2021,2024,4,Announced & Planning,Approved,1,0,200.0,0.491,,,Energy,Clean Electricity,Yes,EN-CLEL,1,0.9810760253222282,1.1111298938078658,1.0,0.056394083240398296,0.6112032484894963,0.6112032484894963,0.255431734166108,0.468894642760141
5052,Fortis,Tilbury LNG Phase 2,BC,Private,2022,2024,3,In Review,Announced & Planning,1,0,3500.0,0.931,49.1417976,-123.023505,Energy,Oil & Gas - Downstream,No,EN-OG-D,4,0.02138310546857932,0.22825844439146817,2.0,0.011853660127980059,0.017571327332339615,0.008785663666169808,0.0029653792695594323,0.011728948107227542
5053,Alberta BioBoard,MDF and Fuel Pellet Plant,AB,Private,2021,2024,4,Announced & Planning,Announced & Planning,1,0,790.0,0.776,,,Energy,Waste Biomass,Yes,EN-BIO,3,0.967027397136477,1.0455309037346399,1.0,0.05315483233786611,0.6014783712170326,0.6014783712170326,0.25135614876048734,0.4614294822344145
5060,Fortis,Tilbury LNG Phase 1B,BC,Private,2021,2024,4,Announced & Planning,In Review,1,0,60.0,0.254,49.1417976,-123.023505,Energy,Oil & Gas - Downstream,No,EN-OG-D,0,0.010351981534265023,0.2739748681441891,1.0,0.014210811227819087,0.011895513411686648,0.011895513411686648,0.004268681910960338,0.008844780811396124
