Unique ID,company,project,province,group,sector,reporting_years,_cost_quintile_bayes,cost_percentile,cleantech,greenfield_flag,FOAK_flag,indigenous_flag_overlay,mpo_flag,overlay_mode,p_bayes,risk_score,risk_score_adj,p_cox_engine,blended_engine,t0_orig,t0_adj,delta_t,knot_before,knot_after,knot_changed,p_cox_cond_status,p_cox_cond_overlay,delta_p_cox_cond,blended_status,blended_overlay,delta_blended,years_remaining_status,years_remaining_overlay,priority_index_status,priority_index_overlay,delta_priority_index,EV_status,EV_overlay,delta_EV
413,Spanish Mountain Gold Ltd.,Spanish Mountain Copper-Gold Mines,BC,Precious Metal,Mining,5,3,0.762,No,1,0,1,0,indigenous_only,0.014296756980405315,0.006030316960071795,0.006633348656078975,0.0036498671024598472,0.00897331204143258,5.0,4.0,-1.0,4,4,0,0.0,0.0018479289469548466,0.0018479289469548466,0.0071483784902026575,0.00807234296368008,0.0009239644734774224,0.25,1.0,0.02859351396081063,0.00807234296368008,-0.02052117099713055,5.404174138593209,6.102691280542141,0.6985171419489316
417,Generation Mining Ltd.,Marathon PGM Copper Mine,ON,Other,Mining,5,3,0.793,No,1,0,1,0,indigenous_only,0.5650633322389391,0.08727340315571529,0.09600074347128683,0.051543276643795655,0.3083033044413674,5.0,4.0,-1.0,4,4,0,0.0,0.02641367448394827,0.02641367448394827,0.28253166611946956,0.2957385033614437,0.013206837241974134,0.25,1.0,1.1301266644778782,0.2957385033614437,-0.8343881611164345,253.68518300867171,265.5436021682403,11.85841915956857
422,Suncor Energy Inc.,Lewis,AB,Clean Electricity,Energy,5,4,0.96,Yes,1,0,1,0,indigenous_only,0.9256951885113697,0.33947933061420993,0.37342726367563095,0.18604219454238569,0.5558686915268777,5.0,4.0,-1.0,4,4,0,0.0,0.09888843619075183,0.09888843619075183,0.46284759425568484,0.5122918123510607,0.04944421809537586,0.25,1.0,1.8513903770227393,0.5122918123510607,-1.3390985646716786,2869.655084385246,3176.209236576576,306.5541521913301
427,Sunshine Oilsands Ltd.,Thickwood (Sunshine),AB,Waste Biomass,Energy,8,4,0.888,Yes,1,0,1,0,indigenous_only,0.8860956857971499,0.36523840832410037,0.40176224915651043,0.19865685632372299,0.5423762710604365,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.44304784289857496,0.44304784289857496,0.0,0.25,0.25,1.7721913715942998,1.7721913715942998,0.0,776.6628686012019,776.6628686012019,0.0
429,Sunshine Oilsands Ltd.,West Ells,AB,Oil & Gas - Upstream,Energy,8,4,0.92,No,1,0,1,0,indigenous_only,0.8121271970440334,0.2889545568998216,0.3178500125898038,0.16071969918294338,0.48642344811348837,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.4060635985220167,0.4060635985220167,0.0,0.25,0.25,1.6242543940880667,1.6242543940880667,0.0,1197.8876156399492,1197.8876156399492,0.0
439,Osisko Metals Inc/Appian,Pine Point,NT,Other,Mining,4,3,0.734,No,1,0,1,0,indigenous_only,0.4357240142829189,0.08432090496582736,0.09275299546241011,0.04984375519695383,0.24278388473993637,4.0,3.0,-1.0,4,3,1,0.02323773129167528,0.038323891591331205,0.015086160299655926,0.2294808727872971,0.23702395293712505,0.007543080149827963,1.0,2.0,0.2294808727872971,0.11851197646856253,-0.11096889631873456,149.91985419194117,154.84774845382378,4.927894261882614
441,Taseko Mines Ltd.,Harmony Gold Mine,BC,Precious Metal,Mining,5,0,0.214,No,1,0,1,0,indigenous_only,0.005524083908886221,0.010521863321959578,0.011574049654155536,0.006359729776061918,0.005941906842474069,5.0,4.0,-1.0,4,4,0,0.0,0.0032220980789624543,0.0032220980789624543,0.0027620419544431103,0.004373090993924337,0.0016110490394812271,0.25,1.0,0.011048167817772441,0.004373090993924337,-0.006675076823848104,0.1381020977221555,0.21865454969621687,0.08055245197406136
442,Teck Resources Ltd.,Highland Valley Copper 2040 (HVC 2040),BC,Base Metal,Mining,2,3,0.754,No,1,0,1,0,indigenous_only,0.04120298998056459,0.00607952114839494,0.0066874732632344345,0.003679593224373723,0.022441291602469157,2.0,1.0,-1.0,2,2,0,0.0032005706746928153,0.003520063799481443,0.0003194931247886279,0.022201780327628703,0.022361526890023017,0.00015974656239431395,3.0,4.0,0.007400593442542901,0.005590381722505754,-0.001810211720037147,16.45151922277287,16.569891425507056,0.1183722027341858
443,Teck Coal Ltd.,Line Creek Coal Mine,BC,Coal,Mining,8,1,0.425,No,1,0,1,0,indigenous_only,0.0032296112530729067,0.008491982962837152,0.009341181259120868,0.005135965969778611,0.004182788611425759,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.0016148056265364533,0.0016148056265364533,0.0,0.25,0.25,0.006459222506145813,0.006459222506145813,0.0,0.22607278771510347,0.22607278771510347,0.0
444,Conuma Resources Ltd.,Quintette Mine,BC,Precious Metal,Mining,1,2,0.677,No,1,0,1,0,indigenous_only,0.031634316850987665,0.006574129413259301,0.0072315423545852315,0.003978355631444441,0.017806336241216053,1.0,0.0,-1.0,2,2,0,0.003460506709582978,0.00380589806478826,0.0003453913552052823,0.01754741178028532,0.017720107457887962,0.00017269567760264115,4.0,5.0,0.00438685294507133,0.0035440214915775925,-0.0008428314534937378,8.773705890142661,8.860053728943981,0.08634783880131991
460,GoldMining Inc,Yellowknife Gold,NT,Precious Metal,Mining,5,1,0.484,No,1,0,1,0,indigenous_only,0.3227519670990843,0.10869856622859184,0.11956842285145103,0.06378533227238548,0.1932686496857349,5.0,4.0,-1.0,4,4,0,0.0,0.032790713731885024,0.032790713731885024,0.16137598354954216,0.17777134041548467,0.016395356865942512,0.25,1.0,0.6455039341981686,0.17777134041548467,-0.46773259378268395,31.145564825061637,34.309868700188545,3.164303875126908
485,Conuma Coal Resources Ltd.,Wolverine Coal Mine (Hermann Deposit),BC,Coal,Mining,5,0,0.241,No,1,0,1,0,indigenous_only,0.0011229170637215213,0.010237207164090384,0.011260927880499422,0.006188208528573491,0.003655562796147506,5.0,4.0,-1.0,4,4,0,0.0,0.0031350649384929152,0.0031350649384929152,0.0005614585318607607,0.0021289910011072183,0.0015675324692464576,0.25,1.0,0.0022458341274430426,0.0021289910011072183,-0.00011684312633582434,0.030880219252341835,0.11709450506089701,0.08621428580855517
488,Western Copper and Gold Corporation,Casino Mine,YK,Precious Metal,Mining,8,4,0.932,No,1,0,1,0,indigenous_only,0.5918177600447975,0.06895832787096236,0.0758541606580586,0.040951454651233066,0.31638460734801527,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.29590888002239873,0.29590888002239873,0.0,0.25,0.25,1.183635520089595,1.183635520089595,0.0,1070.3024190410163,1070.3024190410163,0.0
