Unique ID,company,project,province,group,sector,reporting_years,_cost_quintile_bayes,cost_percentile,cleantech,greenfield_flag,FOAK_flag,indigenous_flag_overlay,mpo_flag,overlay_mode,p_bayes,risk_score,risk_score_adj,p_cox_engine,blended_engine,t0_orig,t0_adj,delta_t,knot_before,knot_after,knot_changed,p_cox_cond_status,p_cox_cond_overlay,delta_p_cox_cond,blended_status,blended_overlay,delta_blended,years_remaining_status,years_remaining_overlay,priority_index_status,priority_index_overlay,delta_priority_index,EV_status,EV_overlay,delta_EV
8005,MYTILINEOS Energy & Metals,Red Willow Solar,AB,Clean Electricity,Energy,1,2,0.586,Yes,1,0,1,1,both(ind_then_cap),0.9722794213868338,0.49636942009725926,0.5460063621069853,0.25990642964859534,0.6160929255177146,1.0,0.0,-1.0,2,2,0,0.230283724483356,0.2501684037005284,0.019884679217172407,0.6012815729350949,0.6112239125436811,0.00994233960858626,4.0,5.0,0.15032039323377372,0.12224478250873623,-0.02807561072503749,189.4036954745549,192.53553245125957,3.131836976704676
8006,MYTILINEOS Energy & Metals,Sunnynook Solar Project,AB,Clean Electricity,Energy,1,2,0.629,Yes,1,0,1,1,both(ind_then_cap),0.9722794213868338,0.47515509036984305,0.5226705994068274,0.250324722407682,0.6113020718972579,1.0,0.0,-1.0,2,2,0,0.2216251723340953,0.24088484665791188,0.01925967432381659,0.5969522968604646,0.6065821340223728,0.009629837161908239,4.0,5.0,0.14923807421511615,0.12131642680447456,-0.027921647410641584,229.82663429127885,233.53412159861352,3.7074873073346737
8007,MYTILINEOS Energy & Metals,Dolcy Solar Project,AB,Clean Electricity,Energy,1,2,0.563,Yes,1,0,1,1,both(ind_then_cap),0.9722794213868338,0.5081027731424227,0.5589130504566651,0.26515324088205794,0.6187163311344459,1.0,0.0,-1.0,2,2,0,0.23503121378811176,0.2552541599900222,0.020222946201910452,0.6036553175874728,0.613766790688428,0.01011147310095517,4.0,5.0,0.1509138293968682,0.12275335813768559,-0.028160471259182612,166.00521233655502,168.78586743931768,2.7806551027626654
8011,Solar Krafte and Kinbrook Solar,Rainier Solar Farm,AB,Clean Electricity,Energy,1,3,0.742,Yes,1,0,1,1,both(ind_then_cap),0.9743570938805424,0.423628293826881,0.46599112320956915,0.2265322716533832,0.6004446827669627,1.0,0.0,-1.0,2,2,0,0.20018693316563108,0.21785487169112405,0.017667938525492977,0.5872720135230867,0.5961059827858333,0.0088339692627466,4.0,5.0,0.14681800338077167,0.11922119655716665,-0.02759680682360502,411.0904094661607,417.2741879500833,6.183778483922595
8013,Kineticor Resource Corp.,Greenlight Electricity Centre,AB,Clean Electricity,Energy,1,4,0.942,Yes,1,0,1,1,both(ind_then_cap),0.9681505454936437,0.34574357097466757,0.3803179280721344,0.18912805608263406,0.5786393007881389,1.0,0.0,-1.0,2,2,0,0.16665619428021716,0.1817111513574241,0.015054957077206943,0.5674033698869304,0.5749308484255339,0.0075274785386034715,4.0,5.0,0.1418508424717326,0.11498616968510678,-0.026864672786625826,2553.315164491187,2587.1888179149023,33.873653423715496
8016,NorthRiver Midstream,NEBC Connector Pipeline Project,AB,Trans & Distr,Energy,1,2,0.654,No,1,0,1,1,both(ind_then_cap),0.9284090736861459,0.3785964803138133,0.4164561283451947,0.20512136199168995,0.566765217838918,1.0,0.0,-1.0,2,2,0,0.18096804397803323,0.19715643346563427,0.01618838948760104,0.5546885588320896,0.56278275357589,0.008094194743800465,4.0,5.0,0.1386721397080224,0.112556550715178,-0.026115588992844385,249.6098514744403,253.2522391091505,3.642387634710218
8017,Gibson Energy & Varme Energy JV,Heartland Waste to Power Project,AB,Waste Biomass,Energy,1,2,0.573,Yes,1,1,1,1,both(ind_then_cap),0.9577640245827723,0.1569187135999877,0.1726105849599865,0.09076278887169098,0.5242634067272316,1.0,0.0,-1.0,2,2,0,0.07941184454131234,0.08699759587090639,0.007585751329594048,0.5185879345620423,0.5223808102268394,0.003792875664797024,4.0,5.0,0.12964698364051058,0.10447616204536787,-0.02517082159514271,155.5763803686127,156.71424306805181,1.1378626994391254
8021,Horizon New Energy,Aira Solar Project,AB,Clean Electricity,Energy,1,3,0.742,Yes,1,0,1,1,both(ind_then_cap),0.9743570938805424,0.423628293826881,0.46599112320956915,0.2265322716533832,0.6004446827669627,1.0,0.0,-1.0,2,2,0,0.20018693316563108,0.21785487169112405,0.017667938525492977,0.5872720135230867,0.5961059827858333,0.0088339692627466,4.0,5.0,0.14681800338077167,0.11922119655716665,-0.02759680682360502,411.0904094661607,417.2741879500833,6.183778483922595
8022,hep Energy,Alderson Solar Power Project,AB,Clean Electricity,Energy,1,1,0.441,Yes,1,0,1,1,both(ind_then_cap),0.9774903053972903,0.5751384211852291,0.632652263303752,0.2944241778808657,0.635957241639078,1.0,0.0,-1.0,2,2,0,0.2615987007837973,0.2836558849914407,0.022057184207643354,0.6195445030905438,0.6305730951943656,0.011028592103821788,4.0,5.0,0.15488612577263594,0.1261146190388731,-0.02877150673376283,92.93167546358157,94.58596427915484,1.654288815573267
8029,Renewable Energy Systems Canada Inc.,Nova Solar Project,AB,Clean Electricity,Energy,1,1,0.522,Yes,1,0,1,1,both(ind_then_cap),0.9774903053972903,0.529710874273724,0.5826819617010964,0.27471861685647336,0.6261044611268818,1.0,0.0,-1.0,2,2,0,0.2436976889331106,0.2645299868027132,0.020832297869602612,0.6105939971652005,0.6210101461000017,0.01041614893480125,4.0,5.0,0.15264849929130012,0.12420202922000034,-0.028446470071299773,137.3836493621701,139.72728287250038,2.343633510330278
