Unique ID,company,project,province,group,sector,reporting_years,_cost_quintile_bayes,cost_percentile,cleantech,greenfield_flag,FOAK_flag,indigenous_flag_overlay,mpo_flag,overlay_mode,p_bayes,risk_score,risk_score_adj,p_cox_engine,blended_engine,t0_orig,t0_adj,delta_t,knot_before,knot_after,knot_changed,p_cox_cond_status,p_cox_cond_overlay,delta_p_cox_cond,blended_status,blended_overlay,delta_blended,years_remaining_status,years_remaining_overlay,priority_index_status,priority_index_overlay,delta_priority_index,EV_status,EV_overlay,delta_EV
390,Seabridge Gold Inc.,Kerr-Sulphurets-Mitchell (KSM),BC,Precious Metal,Mining,8,4,0.971,No,1,0,0,1,mpo_only,0.011082647599209206,0.004876844479222313,0.004876844479222313,0.002952756344520302,0.007017701971864754,8.0,2.0,-6.0,4,2,1,0.0,0.002568234025849603,0.002568234025849603,0.005541323799604603,0.006825440812529404,0.0012841170129248014,0.25,3.0,0.02216529519841841,0.0022751469375098016,-0.01989014826090861,46.33433308277385,57.07160589804587,10.737272815272014
399,Canadian Natural Resources Limited,AOSP Jackpine,AB,Other,Energy,8,4,0.98,Yes,1,0,0,1,mpo_only,0.8599744071107621,0.3326520871140996,0.3326520871140996,0.18266561323055197,0.521320010170657,8.0,2.0,-6.0,4,2,1,0.0,0.1608836548913447,0.1608836548913447,0.42998720355538106,0.5104290310010534,0.08044182744567235,0.25,3.0,1.7199488142215242,0.17014301033368448,-1.5498058038878397,5159.846442664572,6125.148372012641,965.3019293480684
404,Skygold Ventures Inc.,Spanish Mountain Copper-Gold Mines,BC,Precious Metal,Mining,4,3,0.762,No,1,0,0,1,mpo_only,0.034180403778301845,0.006030316960071795,0.006030316960071795,0.0036498671024598472,0.018915135440380846,4.0,2.0,-2.0,4,2,1,0.0016800766103844955,0.0031747082369344426,0.001494631626549947,0.01793024019434317,0.018677556007618144,0.0007473158132749735,1.0,3.0,0.01793024019434317,0.0062258520025393815,-0.011704388191803788,13.555261586923436,14.120232341759317,0.5649707548358816
413,Spanish Mountain Gold Ltd.,Spanish Mountain Copper-Gold Mines,BC,Precious Metal,Mining,5,3,0.762,No,1,0,0,1,mpo_only,0.014296756980405315,0.006030316960071795,0.006030316960071795,0.0036498671024598472,0.00897331204143258,5.0,2.0,-3.0,4,2,1,0.0,0.0031747082369344426,0.0031747082369344426,0.0071483784902026575,0.008735732608669878,0.0015873541184672204,0.25,3.0,0.02859351396081063,0.002911910869556626,-0.025681603091254005,5.404174138593209,6.604213852154428,1.2000397135612184
417,Generation Mining Ltd.,Marathon PGM Copper Mine,ON,Other,Mining,5,3,0.793,No,1,0,0,1,mpo_only,0.5650633322389391,0.08727340315571529,0.08727340315571529,0.051543276643795655,0.3083033044413674,5.0,2.0,-3.0,4,2,1,0.0,0.04497605248036207,0.04497605248036207,0.28253166611946956,0.3050196923596506,0.022488026240181036,0.25,3.0,1.1301266644778782,0.1016732307865502,-1.028453433691328,253.68518300867171,273.87718176973027,20.191998761058557
422,Suncor Energy Inc.,Lewis,AB,Clean Electricity,Energy,5,4,0.96,Yes,1,0,0,1,mpo_only,0.9256951885113697,0.33947933061420993,0.33947933061420993,0.18604219454238569,0.5558686915268777,5.0,2.0,-3.0,4,2,1,0.0,0.16389902104241294,0.16389902104241294,0.46284759425568484,0.5447971047768914,0.08194951052120653,0.25,3.0,1.8513903770227393,0.18159903492563045,-1.6697913420971089,2869.655084385246,3377.7420496167265,508.08696523148046
427,Sunshine Oilsands Ltd.,Thickwood (Sunshine),AB,Waste Biomass,Energy,8,4,0.888,Yes,1,0,0,1,mpo_only,0.8860956857971499,0.36523840832410037,0.36523840832410037,0.19865685632372299,0.5423762710604365,8.0,2.0,-6.0,4,2,1,0.0,0.17517870465236218,0.17517870465236218,0.44304784289857496,0.530637195224756,0.08758935232618109,0.25,3.0,1.7721913715942998,0.17687906507491868,-1.5953123065193813,776.6628686012019,930.2070032289973,153.54413462779542
429,Sunshine Oilsands Ltd.,West Ells,AB,Oil & Gas - Upstream,Energy,8,4,0.92,No,1,0,0,1,mpo_only,0.8121271970440334,0.2889545568998216,0.2889545568998216,0.16071969918294338,0.48642344811348837,8.0,2.0,-6.0,4,2,1,0.0,0.14132468174012802,0.14132468174012802,0.4060635985220167,0.4767259393920807,0.07066234087006401,0.25,3.0,1.6242543940880667,0.1589086464640269,-1.46534574762404,1197.8876156399492,1406.341521206638,208.45390556668872
439,Osisko Metals Inc/Appian,Pine Point,NT,Other,Mining,4,3,0.734,No,1,0,0,1,mpo_only,0.4357240142829189,0.08432090496582736,0.08432090496582736,0.04984375519695383,0.24278388473993637,4.0,2.0,-2.0,4,2,1,0.02323773129167528,0.043488076294203815,0.020250345002528536,0.2294808727872971,0.23960604528856136,0.010125172501264268,1.0,3.0,0.2294808727872971,0.07986868176285379,-0.1496121910244433,149.91985419194117,156.53462938701713,6.614775195075964
441,Taseko Mines Ltd.,Harmony Gold Mine,BC,Precious Metal,Mining,5,0,0.214,No,1,0,0,1,mpo_only,0.005524083908886221,0.010521863321959578,0.010521863321959578,0.006359729776061918,0.005941906842474069,5.0,2.0,-3.0,4,2,1,0.0,0.0055327675416601,0.0055327675416601,0.0027620419544431103,0.00552842572527316,0.00276638377083005,0.25,3.0,0.011048167817772441,0.0018428085750910534,-0.009205359242681389,0.1381020977221555,0.27642128626365803,0.13831918854150252
442,Teck Resources Ltd.,Highland Valley Copper 2040 (HVC 2040),BC,Base Metal,Mining,2,3,0.754,No,1,0,0,1,mpo_only,0.04120298998056459,0.00607952114839494,0.00607952114839494,0.003679593224373723,0.022441291602469157,2.0,2.0,0.0,2,2,0,0.0032005706746928153,0.0032005706746928153,0.0,0.022201780327628703,0.022201780327628703,0.0,3.0,3.0,0.007400593442542901,0.007400593442542901,0.0,16.45151922277287,16.45151922277287,0.0
443,Teck Coal Ltd.,Line Creek Coal Mine,BC,Coal,Mining,8,1,0.425,No,1,0,0,1,mpo_only,0.0032296112530729067,0.008491982962837152,0.008491982962837152,0.005135965969778611,0.004182788611425759,8.0,2.0,-6.0,4,2,1,0.0,0.004467773116197393,0.004467773116197393,0.0016148056265364533,0.00384869218463515,0.0022338865580986966,0.25,3.0,0.006459222506145813,0.0012828973948783833,-0.00517632511126743,0.22607278771510347,0.538816905848921,0.3127441181338175
444,Conuma Resources Ltd.,Quintette Mine,BC,Precious Metal,Mining,1,2,0.677,No,1,0,0,1,mpo_only,0.031634316850987665,0.006574129413259301,0.006574129413259301,0.003978355631444441,0.017806336241216053,1.0,1.0,0.0,2,2,0,0.003460506709582978,0.003460506709582978,0.0,0.01754741178028532,0.01754741178028532,0.0,4.0,4.0,0.00438685294507133,0.00438685294507133,0.0,8.773705890142661,8.773705890142661,0.0
460,GoldMining Inc,Yellowknife Gold,NT,Precious Metal,Mining,5,1,0.484,No,1,0,0,1,mpo_only,0.3227519670990843,0.10869856622859184,0.10869856622859184,0.06378533227238548,0.1932686496857349,5.0,2.0,-3.0,4,2,1,0.0,0.05570461366553936,0.05570461366553936,0.16137598354954216,0.18922829038231184,0.02785230683276968,0.25,3.0,0.6455039341981686,0.06307609679410395,-0.5824278374040647,31.145564825061637,36.521060043786186,5.375495218724549
485,Conuma Coal Resources Ltd.,Wolverine Coal Mine (Hermann Deposit),BC,Coal,Mining,5,0,0.241,No,1,0,0,1,mpo_only,0.0011229170637215213,0.010237207164090384,0.010237207164090384,0.006188208528573491,0.003655562796147506,5.0,2.0,-3.0,4,2,1,0.0,0.005383488916526402,0.005383488916526402,0.0005614585318607607,0.0032532029901239617,0.002691744458263201,0.25,3.0,0.0022458341274430426,0.0010844009967079873,-0.0011614331307350553,0.030880219252341835,0.1789261644568179,0.14804594520447606
488,Western Copper and Gold Corporation,Casino Mine,YK,Precious Metal,Mining,8,4,0.932,No,1,0,0,1,mpo_only,0.5918177600447975,0.06895832787096236,0.06895832787096236,0.040951454651233066,0.31638460734801527,8.0,2.0,-6.0,4,2,1,0.0,0.03570827241041086,0.03570827241041086,0.29590888002239873,0.31376301622760416,0.01785413620520543,0.25,3.0,1.183635520089595,0.10458767207586805,-1.0790478480137269,1070.3024190410163,1134.8808296952443,64.57841065422804
515,Athabasca Oil Corporation,Dover West Clastics,AB,Oil & Gas - Upstream,Energy,6,3,0.73,No,1,0,0,1,mpo_only,0.831350350343411,0.3504683879178783,0.3504683879178783,0.1914478316705125,0.5113990910069617,6.0,2.0,-4.0,4,2,1,0.0,0.16872978140582184,0.16872978140582184,0.4156751751717055,0.5000400658746165,0.08436489070291098,0.25,3.0,1.662700700686822,0.1666800219582055,-1.4960206787286165,255.64023273059888,307.5246405128891,51.884407782290225
522,BURNCO Rock Products Ltd.,BURNCO Aggregate Project (McNab Creek),BC,Other,Mining,8,0,0.253,No,1,0,0,1,mpo_only,0.004055126347325657,0.010113177766380705,0.010113177766380705,0.0061134646226505,0.005084295484988078,8.0,2.0,-6.0,4,2,1,0.0,0.005318438741029108,0.005318438741029108,0.0020275631736628285,0.004686782544177382,0.002659219370514554,0.25,3.0,0.008110252694651314,0.0015622608480591275,-0.0065479918465921865,0.1216537904197697,0.28120695265064294,0.15955316223087324
530,Centermount Coal Limited,Bingay Main Metallurgical Coal,BC,Coal,Mining,6,2,0.67,No,1,0,0,1,mpo_only,0.0023817377883598155,0.006621041783606765,0.006621041783606765,0.004006687854646085,0.00319421282150295,6.0,2.0,-4.0,4,2,1,0.0,0.003485157479728329,0.003485157479728329,0.0011908688941799077,0.002933447634044072,0.0017425787398641643,0.25,3.0,0.004763475576719631,0.0009778158780146906,-0.0037856596987049405,0.5716170692063557,1.4080548643411546,0.8364377951347989
533,Granite Creek Copper,Carmacks Copper Project,YK,Base Metal,Mining,8,2,0.588,No,1,0,0,1,mpo_only,0.6701230987375606,0.09780110823644438,0.09780110823644438,0.057578543369193436,0.363850821053377,8.0,2.0,-6.0,4,2,1,0.0,0.05026290348921025,0.05026290348921025,0.3350615493687803,0.3601930011133854,0.025131451744605127,0.25,3.0,1.3402461974751212,0.1200643337044618,-1.2201818637706594,107.55475734737847,115.62195335739672,8.06719601001825
536,ecoTECH Energy Group (Canada) Inc,Biomass Project - McBride,BC,Waste Biomass,Energy,8,1,0.425,Yes,1,0,0,1,mpo_only,0.0668474078768165,0.04301184258510639,0.04301184258510639,0.025743505770888575,0.04629545682385254,8.0,2.0,-6.0,4,2,1,0.0,0.02242468957293775,0.02242468957293775,0.03342370393840825,0.04463604872487713,0.011212344786468875,0.25,3.0,0.133694815753633,0.014878682908292376,-0.11881613284534064,4.679318551377156,6.249046821482798,1.5697282701056423
